"StateFIPS","State","CensusTract","Census Tract","Year","Value","Data Comment",,"Distance to Parks"
"06","California","06001432601","Alameda County, CA - 06001432601","2020","100.0%","",,"Distance to Parks: 1/2 Mile"
"06","California","06001432602","Alameda County, CA - 06001432602","2020","100.0%","",,"Distance to Parks: 1/2 Mile"
"06","California","06001432700","Alameda County, CA - 06001432700","2020","98.0%","",,"Distance to Parks: 1/2 Mile"
"06","California","06001432800","Alameda County, CA - 06001432800","2020","98.7%","",,"Distance to Parks: 1/2 Mile"
"06","California","06001433000","Alameda County, CA - 06001433000","2020","99.3%","",,"Distance to Parks: 1/2 Mile"
"06","California","06001433102","Alameda County, CA - 06001433102","2020","100.0%","",,"Distance to Parks: 1/2 Mile"
"06","California","06001433103","Alameda County, CA - 06001433103","2020","100.0%","",,"Distance to Parks: 1/2 Mile"
"06","California","06001433104","Alameda County, CA - 06001433104","2020","94.9%","",,"Distance to Parks: 1/2 Mile"
"06","California","06001433200","Alameda County, CA - 06001433200","2020","92.6%","",,"Distance to Parks: 1/2 Mile"
"06","California","06001433300","Alameda County, CA - 06001433300","2020","100.0%","",,"Distance to Parks: 1/2 Mile"
"06","California","06001433400","Alameda County, CA - 06001433400","2020","94.6%","",,"Distance to Parks: 1/2 Mile"
"06","California","06001433500","Alameda County, CA - 06001433500","2020","100.0%","",,"Distance to Parks: 1/2 Mile"
"06","California","06001433600","Alameda County, CA - 06001433600","2020","98.5%","",,"Distance to Parks: 1/2 Mile"
"06","California","06001433700","Alameda County, CA - 06001433700","2020","81.8%","",,"Distance to Parks: 1/2 Mile"
"06","California","06001433801","Alameda County, CA - 06001433801","2020","100.0%","",,"Distance to Parks: 1/2 Mile"
"06","California","06001433802","Alameda County, CA - 06001433802","2020","100.0%","",,"Distance to Parks: 1/2 Mile"
"06","California","06001433900","Alameda County, CA - 06001433900","2020","100.0%","",,"Distance to Parks: 1/2 Mile"
"06","California","06001434000","Alameda County, CA - 06001434000","2020","99.7%","",,"Distance to Parks: 1/2 Mile"
"06","California","06001435102","Alameda County, CA - 06001435102","2020","99.5%","",,"Distance to Parks: 1/2 Mile"
"06","California","06001435103","Alameda County, CA - 06001435103","2020","61.8%","",,"Distance to Parks: 1/2 Mile"
"06","California","06001435104","Alameda County, CA - 06001435104","2020","100.0%","",,"Distance to Parks: 1/2 Mile"
"06","California","06001435200","Alameda County, CA - 06001435200","2020","98.5%","",,"Distance to Parks: 1/2 Mile"
"06","California","06001435300","Alameda County, CA - 06001435300","2020","100.0%","",,"Distance to Parks: 1/2 Mile"
"06","California","06001435400","Alameda County, CA - 06001435400","2020","98.1%","",,"Distance to Parks: 1/2 Mile"
"06","California","06001435500","Alameda County, CA - 06001435500","2020","38.1%","",,"Distance to Parks: 1/2 Mile"
"06","California","06001435601","Alameda County, CA - 06001435601","2020","95.9%","",,"Distance to Parks: 1/2 Mile"
"06","California","06001435602","Alameda County, CA - 06001435602","2020","89.4%","",,"Distance to Parks: 1/2 Mile"
"06","California","06001435700","Alameda County, CA - 06001435700","2020","85.8%","",,"Distance to Parks: 1/2 Mile"
"06","California","06001435800","Alameda County, CA - 06001435800","2020","79.6%","",,"Distance to Parks: 1/2 Mile"
"06","California","06001435900","Alameda County, CA - 06001435900","2020","100.0%","",,"Distance to Parks: 1/2 Mile"
"06","California","06001436000","Alameda County, CA - 06001436000","2020","100.0%","",,"Distance to Parks: 1/2 Mile"
"06","California","06001436100","Alameda County, CA - 06001436100","2020","99.2%","",,"Distance to Parks: 1/2 Mile"
"06","California","06001436200","Alameda County, CA - 06001436200","2020","100.0%","",,"Distance to Parks: 1/2 Mile"
"06","California","06001436301","Alameda County, CA - 06001436301","2020","98.2%","",,"Distance to Parks: 1/2 Mile"
"06","California","06001436302","Alameda County, CA - 06001436302","2020","99.4%","",,"Distance to Parks: 1/2 Mile"
"06","California","06001436402","Alameda County, CA - 06001436402","2020","100.0%","",,"Distance to Parks: 1/2 Mile"
"06","California","06001436403","Alameda County, CA - 06001436403","2020","100.0%","",,"Distance to Parks: 1/2 Mile"
"06","California","06001436404","Alameda County, CA - 06001436404","2020","100.0%","",,"Distance to Parks: 1/2 Mile"
"06","California","06001436500","Alameda County, CA - 06001436500","2020","99.2%","",,"Distance to Parks: 1/2 Mile"
"06","California","06001436601","Alameda County, CA - 06001436601","2020","99.1%","",,"Distance to Parks: 1/2 Mile"
"06","California","06001436602","Alameda County, CA - 06001436602","2020","99.9%","",,"Distance to Parks: 1/2 Mile"
"06","California","06001436700","Alameda County, CA - 06001436700","2020","100.0%","",,"Distance to Parks: 1/2 Mile"
"06","California","06001436800","Alameda County, CA - 06001436800","2020","100.0%","",,"Distance to Parks: 1/2 Mile"
"06","California","06001436900","Alameda County, CA - 06001436900","2020","100.0%","",,"Distance to Parks: 1/2 Mile"
"06","California","06001437000","Alameda County, CA - 06001437000","2020","92.8%","",,"Distance to Parks: 1/2 Mile"
"06","California","06001437101","Alameda County, CA - 06001437101","2020","95.7%","",,"Distance to Parks: 1/2 Mile"
"06","California","06001437102","Alameda County, CA - 06001437102","2020","100.0%","",,"Distance to Parks: 1/2 Mile"
"06","California","06001437200","Alameda County, CA - 06001437200","2020","100.0%","",,"Distance to Parks: 1/2 Mile"
"06","California","06001437300","Alameda County, CA - 06001437300","2020","100.0%","",,"Distance to Parks: 1/2 Mile"
"06","California","06001437400","Alameda County, CA - 06001437400","2020","100.0%","",,"Distance to Parks: 1/2 Mile"
"06","California","06001437500","Alameda County, CA - 06001437500","2020","100.0%","",,"Distance to Parks: 1/2 Mile"
"06","California","06001437600","Alameda County, CA - 06001437600","2020","100.0%","",,"Distance to Parks: 1/2 Mile"
"06","California","06001437701","Alameda County, CA - 06001437701","2020","100.0%","",,"Distance to Parks: 1/2 Mile"
"06","California","06001437702","Alameda County, CA - 06001437702","2020","100.0%","",,"Distance to Parks: 1/2 Mile"
"06","California","06001437800","Alameda County, CA - 06001437800","2020","100.0%","",,"Distance to Parks: 1/2 Mile"
"06","California","06001437900","Alameda County, CA - 06001437900","2020","100.0%","",,"Distance to Parks: 1/2 Mile"
"06","California","06001438000","Alameda County, CA - 06001438000","2020","100.0%","",,"Distance to Parks: 1/2 Mile"
"06","California","06001438100","Alameda County, CA - 06001438100","2020","100.0%","",,"Distance to Parks: 1/2 Mile"
"06","California","06001438201","Alameda County, CA - 06001438201","2020","100.0%","",,"Distance to Parks: 1/2 Mile"
"06","California","06001438203","Alameda County, CA - 06001438203","2020","69.2%","",,"Distance to Parks: 1/2 Mile"
